iter	Passed	Remaining
0	136	136193
1	138	68980
2	140	46536
3	141	35336
4	143	28633
5	146	24194
6	148	21027
7	150	18601
8	151	16709
9	153	15191
10	154	13912
11	156	12851
12	157	11940
13	158	11169
14	159	10491
15	160	9895
16	161	9356
17	162	8871
18	163	8447
19	164	8058
20	165	7706
21	166	7395
22	167	7103
23	168	6835
24	168	6588
25	169	6363
26	170	6148
27	171	5954
28	172	5784
29	173	5617
30	174	5459
31	175	5307
32	176	5172
33	177	5042
34	178	4916
35	179	4799
36	180	4688
37	181	4583
38	181	4482
39	182	4384
40	183	4292
41	184	4204
42	185	4122
43	186	4043
44	187	3970
45	187	3898
46	188	3827
47	189	3763
48	190	3700
49	191	3640
50	192	3582
51	193	3526
52	194	3474
53	195	3419
54	196	3368
55	196	3320
56	197	3273
57	198	3226
58	199	3182
59	200	3141
60	201	3105
61	202	3064
62	203	3026
63	204	2989
64	205	2951
65	206	2915
66	206	2880
67	207	2848
68	208	2815
69	209	2782
70	210	2750
71	211	2721
72	212	2692
73	212	2663
74	213	2635
75	214	2608
76	215	2584
77	216	2560
78	217	2534
79	218	2509
80	219	2485
81	219	2462
82	220	2434
83	221	2410
84	221	2388
85	222	2368
86	223	2350
87	224	2331
88	225	2311
89	226	2293
90	227	2274
91	228	2256
92	229	2238
93	230	2222
94	231	2204
95	232	2186
96	232	2168
97	233	2151
98	234	2135
99	235	2119
100	236	2104
101	237	2089
102	238	2074
103	239	2059
104	239	2044
105	240	2029
106	241	2014
107	242	2001
108	243	1988
109	244	1976
110	245	1963
111	246	1952
112	247	1940
113	248	1927
114	248	1915
115	249	1902
116	250	1888
117	251	1877
118	252	1866
119	253	1855
120	253	1844
121	254	1832
122	255	1821
123	256	1809
124	256	1798
125	257	1787
126	258	1776
127	259	1766
128	260	1757
129	261	1749
130	262	1739
131	263	1730
132	264	1721
133	265	1712
134	265	1703
135	266	1695
136	267	1686
137	268	1677
138	269	1669
139	270	1661
140	271	1652
141	271	1642
142	272	1634
143	273	1626
144	274	1618
145	275	1611
146	276	1604
147	277	1597
148	278	1589
149	279	1582
150	280	1575
151	281	1568
152	282	1561
153	282	1553
154	283	1546
155	284	1539
156	285	1531
157	286	1524
158	286	1517
159	287	1511
160	288	1502
161	289	1495
162	289	1488
163	290	1481
164	291	1476
165	292	1471
166	293	1464
167	294	1458
168	295	1453
169	296	1447
170	297	1442
171	298	1437
172	299	1432
173	300	1427
174	301	1422
175	302	1417
176	303	1411
177	304	1405
178	305	1399
179	306	1394
180	307	1389
181	308	1384
182	308	1379
183	310	1374
184	310	1369
185	311	1364
186	312	1359
187	313	1354
188	314	1349
189	315	1343
190	316	1338
191	316	1333
192	317	1329
193	318	1324
194	319	1318
195	320	1314
196	321	1310
197	322	1305
198	323	1302
199	324	1297
200	325	1292
201	326	1288
202	327	1284
203	327	1279
204	328	1275
205	329	1271
206	330	1266
207	331	1262
208	332	1257
209	333	1253
210	334	1249
211	334	1244
212	335	1241
213	336	1237
214	338	1234
215	338	1229
216	339	1225
217	340	1221
218	341	1217
219	342	1213
220	343	1209
221	343	1205
222	344	1201
223	345	1198
224	346	1194
225	347	1190
226	348	1186
227	349	1182
228	350	1178
229	351	1175
230	352	1172
231	353	1169
232	354	1165
233	354	1161
234	355	1158
235	356	1154
236	357	1151
237	358	1147
238	359	1143
239	360	1140
240	360	1136
241	361	1133
242	362	1129
243	363	1126
244	364	1123
245	365	1121
246	366	1117
247	367	1114
248	368	1111
249	369	1108
250	370	1104
251	371	1101
252	371	1098
253	372	1095
254	373	1092
255	375	1089
256	375	1086
257	376	1083
258	377	1080
259	378	1077
260	379	1073
261	380	1070
262	381	1068
263	382	1065
264	383	1062
265	384	1060
266	385	1058
267	386	1056
268	387	1054
